,Unnamed: 0,batsman,bowler,batsman_runs,total_runs,dismissals,balls,strike_rate,economy,bowler_strike_rate,bowler_average,metric
293,1352,DA Warner,Tejas Baroka,26.0,26.0,0.1,15.0,173.33333333333334,10.4,150.0,260.0,2.528282695794299
294,1358,MC Henriques,DS Kulkarni,22.0,22.0,0.1,13.0,169.23076923076923,10.153846153846153,130.0,220.0,2.088681425974808
295,1360,DA Warner,DS Kulkarni,44.0,44.0,2.0,52.0,84.61538461538461,5.076923076923077,26.0,22.0,0.10443407129874027
296,1364,MC Henriques,S Kaushik,32.0,34.0,0.1,30.0,106.66666666666667,6.8,300.0,340.0,2.034594358745708
297,1371,MC Henriques,Tejas Baroka,7.0,7.0,0.1,6.0,116.66666666666667,7.0,60.0,70.0,0.4581577370337301
298,1379,DA Warner,S Kaushik,22.0,22.0,0.1,14.0,157.14285714285714,9.428571428571429,140.0,220.0,1.9394898955480357
299,1383,DA Warner,Basil Thampi,17.0,19.0,0.1,11.0,154.54545454545453,10.363636363636363,110.0,190.0,1.647327818870815
300,1389,MC Henriques,Basil Thampi,2.0,2.0,0.1,3.0,66.66666666666667,4.0,30.0,20.0,0.07480126318918034
301,1424,G Gambhir,SL Malinga,39.0,43.0,2.0,44.0,88.63636363636364,5.863636363636363,22.0,21.5,0.1069105554274905
302,1425,CA Lynn,SL Malinga,14.0,16.0,0.1,9.0,155.55555555555554,10.666666666666666,90.0,160.0,1.3962902461980349
303,1432,CA Lynn,MJ McClenaghan,13.0,15.0,0.1,11.0,118.18181818181819,8.181818181818182,110.0,150.0,0.9945167946743307
304,1436,G Gambhir,MJ McClenaghan,39.0,41.0,1.0,34.0,114.70588235294117,7.235294117647059,34.0,41.0,0.26383945552830773
305,1438,CA Lynn,JJ Bumrah,12.0,14.0,2.0,15.0,80.0,5.6,7.5,7.0,0.0314165305394557
306,1441,G Gambhir,JJ Bumrah,27.0,29.0,1.0,27.0,100.0,6.444444444444445,27.0,29.0,0.1626927474364674
307,1452,G Gambhir,KH Pandya,17.0,17.0,1.0,9.0,188.88888888888889,11.333333333333334,9.0,17.0,0.18014637551394286
308,1454,RV Uthappa,KH Pandya,4.0,4.0,1.0,3.0,133.33333333333334,8.0,3.0,4.0,0.029920505275672138
309,1457,CA Lynn,KH Pandya,2.0,2.0,0.1,3.0,66.66666666666667,4.0,30.0,20.0,0.07480126318918034
310,1458,MK Pandey,MJ McClenaghan,36.0,39.0,0.1,20.0,180.0,11.7,200.0,390.0,3.9382865069103503
311,1466,MK Pandey,KH Pandya,21.0,21.0,0.1,18.0,116.66666666666667,7.0,180.0,210.0,1.3744732111011908
312,1475,YK Pathan,JJ Bumrah,9.0,9.0,0.1,8.0,112.5,6.75,80.0,90.0,0.568022092342839
313,1478,MK Pandey,Harbhajan Singh,64.0,69.0,4.0,66.0,96.96969696969697,6.2727272727272725,16.5,17.25,0.09384158472824455
314,1480,YK Pathan,Harbhajan Singh,47.0,50.0,0.1,38.0,123.6842105263158,7.894736842105263,380.0,500.0,3.4694006939718562
315,1486,YK Pathan,KH Pandya,2.0,2.0,1.0,3.0,66.66666666666667,4.0,3.0,2.0,0.0074801263189179235
316,1501,SA Yadav,KH Pandya,25.0,25.0,0.1,18.0,138.88888888888889,8.333333333333334,180.0,250.0,1.9479495622182408
317,1502,SA Yadav,Harbhajan Singh,29.0,29.0,0.1,18.0,161.11111111111111,9.666666666666666,180.0,290.0,2.621160930920865
318,1508,SA Yadav,MJ McClenaghan,3.0,3.0,1.0,5.0,60.0,3.6,5.0,3.0,0.010098170530539297
319,1520,MK Pandey,JJ Bumrah,30.0,30.0,0.1,15.0,200.0,12.0,150.0,300.0,3.36605684351312
320,1521,SA Yadav,JJ Bumrah,27.0,28.0,1.0,13.0,207.69230769230768,12.923076923076923,13.0,28.0,0.3262485863712716
321,1526,SA Yadav,SL Malinga,15.0,15.0,1.0,10.0,150.0,9.0,10.0,15.0,0.12622713163174193
322,1527,MK Pandey,SL Malinga,36.0,43.0,4.0,41.0,87.8048780487805,6.2926829268292686,10.25,10.75,0.05295382107477953
323,1528,CR Woakes,SL Malinga,3.0,3.0,1.0,4.0,75.0,4.5,4.0,3.0,0.012622713163174093
324,1533,CR Woakes,JJ Bumrah,6.0,6.0,0.1,4.0,150.0,9.0,40.0,60.0,0.5049085265269679
325,1540,SP Narine,SL Malinga,15.0,17.0,0.1,10.0,150.0,10.2,100.0,170.0,1.430574158493076
326,1551,SP Narine,MJ McClenaghan,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
327,1552,PA Patel,TA Boult,15.0,15.0,0.1,11.0,136.36363636363637,8.181818181818182,110.0,150.0,1.1475193784703817
328,1557,JC Buttler,TA Boult,5.0,6.0,0.1,4.0,125.0,9.0,40.0,60.0,0.4207571054391399
329,1558,PA Patel,CR Woakes,2.0,5.0,0.1,8.0,25.0,3.75,80.0,50.0,0.07012618423985661
330,1562,JC Buttler,CR Woakes,10.0,13.0,0.1,8.0,125.0,9.75,80.0,130.0,0.9116403951181367
